Année;Edition;Maillot jaune;Deuxième;Troisième;Equipe;Vélo;Dérailleur;Nb étapes;Distance;Vitesse moy.;Maillot à poids;Maillot vert;Meilleur jeune;Meilleur combattant
1903;1;Maurice Garin; Lucien Pothier; Fernand Augereau;La Française;;dérailleur interdit;6;2428;25.679;;;;
1904;2;Henri Cornet4; Jean-Baptiste Dortignacq4; Aloïs Catteau4;Cycles J.C.-Michelin;;dérailleur interdit;6;2428;25.265;;;;
1905;3;Louis Trousselier; Hippolyte Aucouturier; Jean-Baptiste Dortignacq;Peugeot-Wolber;Peugeot;dérailleur interdit;11;2994;27.107;;;;
1906;4;René Pottier; Georges Passerieu; Louis Trousselier;Peugeot;Peugeot;dérailleur interdit;13;4637;24.463;;;;
1907;5;Lucien Petit-Breton; Gustave Garrigou; Émile Georget;Peugeot-Wolber;Peugeot;dérailleur interdit;14;4488;28.47;;;;
1908;6;Lucien Petit-Breton; François Faber; Georges Passerieu;Peugeot-Wolber;Peugeot;dérailleur interdit;14;4488;28.74;;;;
1909;7;François Faber; Gustave Garrigou; Jean Alavoine;Alcyon-Dunlop;Alcyon;dérailleur interdit;14;4497;28.658;;;;
1910;8;Octave Lapize; François Faber; Gustave Garrigou;Alcyon-Dunlop;Alcyon;dérailleur interdit;15;4734;29.099;;;;
1911;9;Gustave Garrigou; Paul Duboc; Émile Georget;Alcyon-Dunlop;Alcyon;dérailleur interdit;15;5343;27.322;;;;
1912;10;Odile Defraye; Eugène Christophe; Gustave Garrigou;Alcyon-Dunlop;Alcyon;dérailleur interdit;15;5289;27.763;;;;
1913;11;Philippe Thys; Gustave Garrigou; Marcel Buysse;Peugeot-Wolber;Peugeot;dérailleur interdit;15;5287;26.715;;;;
1914;12;Philippe Thys; Henri Pélissier; Jean Alavoine;Peugeot-Wolber;Peugeot;dérailleur interdit;15;5380;26.835;;;;
1919;13;Firmin Lambot; Jean Alavoine; Eugène Christophe;La Sportive;;dérailleur interdit;15;5560;24.056;;;;
1920;14;Philippe Thys; Hector Heusghem; Firmin Lambot;La Sportive;;dérailleur interdit;15;5503;24.072;;;;
1921;15;Léon Scieur; Hector Heusghem; Honoré Barthélémy;La Sportive;;dérailleur interdit;;5485;24.724;;;;
1922;16;Firmin Lambot; Jean Alavoine; Félix Sellier;Peugeot-Wolber;Peugeot;dérailleur interdit;15;5375;24.196;;;;
1923;17;Henri Pélissier; Ottavio Bottecchia; Romain Bellenger;Automoto-Hutchinson;Automoto;dérailleur interdit;15;5386;24.233;;;;
1924;18;Ottavio Bottecchia; Nicolas Frantz; Lucien Buysse;Automoto-Hutchinson;Automoto;dérailleur interdit;15;5425;24.25;;;;
1925;19;Ottavio Bottecchia; Lucien Buysse; Bartolomeo Aimo;Automoto-Hutchinson;Automoto;dérailleur interdit;15;5440;24.82;;;;
1926;20;Lucien Buysse; Nicolas Frantz; Bartolomeo Aimo;Automoto-Hutchinson;Automoto;dérailleur interdit;17;5745;24.273;;;;
1927;21;Nicolas Frantz; Maurice De Waele; Julien Vervaecke;Alcyon-Dunlop;Alcyon;dérailleur interdit;24;5398;27.224;;;;
1928;22;Nicolas Frantz; André Leducq; Maurice De Waele;Alcyon-Dunlop;Alcyon;dérailleur interdit;22;5376;28.4;;;;
1929;23;Maurice De Waele; Giuseppe Pancera; Jef Demuysere;Alcyon-Dunlop;Alcyon;dérailleur interdit;22;5286;28.319;;;;
1930;24;André Leducq; Learco Guerra; Antonin Magne;France;;dérailleur interdit;21;4822;28;;;;
1931;25;Antonin Magne; Jef Demuysere; Antonio Pesenti;France;;dérailleur interdit;24;5091;28.735;;;;
1932;26;André Leducq; Kurt Stöpel; Francesco Camusso;France;;dérailleur interdit;21;4479;29.047;;;;
1933;27;Georges Speicher; Learco Guerra; Giuseppe Martano;France;;dérailleur interdit;23;4395;29.818; Vicente Trueba;;;
1934;28;Antonin Magne; Giuseppe Martano; Roger Lapébie;France;;dérailleur interdit;23;4470;30.36; René Vietto;;;
1935;29;Romain Maes; Ambrogio Morelli; Félicien Vervaecke;Belgique;Alcyon;dérailleur interdit;21;4338;30.65; Félicien Vervaecke;;;
1936;30;Sylvère Maes; Antonin Magne; Félicien Vervaecke;Belgique;Alcyon;dérailleur interdit;21;4442;31.108; Julián Berrendero;;;
1937;31;Roger Lapébie; Mario Vicini; Léo Amberg;France;;Super Champion;20;4415;31.768; Félicien Vervaecke;;;
1938;32;Gino Bartali; Félicien Vervaecke; Victor Cosson;Italie;;Vittoria Margherita;21;4694;31.565; Gino Bartali;;;
1939;33;Sylvère Maes; René Vietto; Lucien Vlaemynck;Belgique;Alcyon;Super Champion;18;4224;31.986; Sylvère Maes;;;
1947;34;Jean Robic; Édouard Fachleitner; Pierre Brambilla;Ouest;;Simplex;21;4642;31.412; Pierre Brambilla;;;
1948;35;Gino Bartali; Albéric Schotte; Guy Lapébie;Italie;;Campagnolo;21;4922;33.442; Gino Bartali;;;
1949;36;Fausto Coppi; Gino Bartali; Jacques Marinelli;Italie;;Simplex;21;4808;32.121; Fausto Coppi;;;
1950;37;Ferdi Kübler; Stan Ockers; Louison Bobet;Suisse;;Simplex;22;4773;32.778; Louison Bobet;;;
1951;38;Hugo Koblet; Raphaël Géminiani; Lucien Lazaridès;Suisse;;Campagnolo;24;4690;32.949; Raphaël Géminiani;;;
1952;39;Fausto Coppi; Stan Ockers; Bernardo Ruiz;Italie;;Campagnolo;23;4898;32.233; Fausto Coppi;;;
1953;40;Louison Bobet; Jean Malléjac; Giancarlo Astrua;France;;Huret;22;4476;34.593; Jesús Loroño; Fritz Schaer;;
1954;41;Louison Bobet; Ferdi Kübler; Fritz Schaer;France;;Huret;23;4656;33.229; Federico Bahamontes; Ferdi Kübler;;
1955;42;Louison Bobet; Jean Brankart; Charly Gaul;France;;Huret;22;4495;34.446; Charly Gaul; Stan Ockers;;
1956;43;Roger Walkowiak; Gilbert Bauvin; Jan Adriaensens;Nord-Est;;Campagnolo;22;4498;36.268; Charly Gaul; Stan Ockers;; André Darrigade
1957;44;Jacques Anquetil; Marcel Janssens; Adolf Christian;France;;Simplex;23;4669;34.52; Gastone Nencini; Jean Forestier;; Nicolas Barone
1958;45;Charly Gaul; Vito Favero; Raphaël Géminiani;Pays-Bas-Luxembourg;;Campagnolo;24;4319;36.919; Federico Bahamontes; Jean Graczyk;; Federico Bahamontes
1959;46;Federico Bahamontes; Henry Anglade; Jacques Anquetil;Espagne;;Campagnolo;22;4358;35.474; Federico Bahamontes; André Darrigade;; Gérard Saint
1960;47;Gastone Nencini; Graziano Battistini; Jan Adriaensens;Italie;;Campagnolo;21;4173;37.21; Imerio Massignan; Jean Graczyk;; Jean Graczyk
1961;48;Jacques Anquetil; Guido Carlesi; Charly Gaul;France;;Simplex;21;4397;36.033; Imerio Massignan; André Darrigade;;Équipe Ouest-Sud-Ouest
1962;49;Jacques Anquetil; Joseph Planckaert; Raymond Poulidor;Saint-Raphaël-Helyett-Hutchinson;;Simplex;22;4274;37.317; Federico Bahamontes; Rudi Altig;; Eddy Pauwels
1963;50;Jacques Anquetil; Federico Bahamontes; José Pérez Francés;Saint-Raphaël-Gitane-R. Geminiani;Gitane;Campagnolo;21;4138;37.092; Federico Bahamontes; Rik Van Looy;; Rik Van Looy
1964;51;Jacques Anquetil; Raymond Poulidor; Federico Bahamontes;Saint-Raphaël-Gitane-Dunlop;Gitane;Campagnolo;22;4504;35.419; Federico Bahamontes; Jan Janssen;; Henri Anglade
1965;52;Felice Gimondi; Raymond Poulidor; Gianni Motta;Salvarani;;Campagnolo;22;4188;35.886; Julio Jiménez; Jan Janssen;; Felice Gimondi
1966;53;Lucien Aimar; Jan Janssen; Raymond Poulidor;Ford France-Hutchinson;Gitane;Campagnolo;22;4329;36.76; Julio Jiménez; Willy Planckaert;; Rudi Altig
1967;54;Roger Pingeon; Julio Jiménez; Franco Balmamion;France;Peugeot;Simplex;22;4779;34.756; Julio Jiménez; Jan Janssen;; Désiré Letort
1968;55;Jan Janssen; Herman Van Springel; Ferdinand Bracke;Pays-Bas;;Campagnolo;22;4492;33.556; Aurelio González; Franco Bitossi;; Roger Pingeon
1969;56;Eddy Merckx; Roger Pingeon; Raymond Poulidor;Faema;;Campagnolo;22;4117;35.409; Eddy Merckx; Eddy Merckx;; Eddy Merckx
1970;57;Eddy Merckx; Joop Zoetemelk; Gösta Pettersson;Faemino-Faema;;Campagnolo;22;4254;35.589; Eddy Merckx; Walter Godefroot;; Eddy Merckx
1971;58;Eddy Merckx; Joop Zoetemelk; Lucien Van Impe;Molteni;;Campagnolo;20;3608;38.084; Lucien Van Impe; Eddy Merckx;; Luis Ocaña
1972;59;Eddy Merckx; Felice Gimondi; Raymond Poulidor;Molteni;;Campagnolo;20;3846;35.514; Lucien Van Impe; Eddy Merckx;; Cyrille Guimard
1973;60;Luis Ocaña; Bernard Thévenet; José Manuel Fuente;Bic;Motobecane;Campagnolo;20;4090;33.407; Pedro Torres; Herman Van Springel;; Luis Ocaña
1974;61;Eddy Merckx; Raymond Poulidor; Vicente López Carril;Molteni;;Campagnolo;22;4098;35.241; Domingo Perurena; Patrick Sercu;; Eddy Merckx
1975;62;Bernard Thévenet; Eddy Merckx; Lucien Van Impe;Peugeot-BP-Michelin;Peugeot;Simplex;22;4000;34.906; Lucien Van Impe; Rik Van Linden; Francesco Moser; Eddy Merckx
1976;63;Lucien Van Impe; Joop Zoetemelk; Raymond Poulidor;Gitane-Campagnolo;Gitane;Campagnolo;22;4017;34.518; Giancarlo Bellini; Freddy Maertens; Enrique Martínez Heredia; Raymond Delisle
1977;64;Bernard Thévenet; Hennie Kuiper; Lucien Van Impe;Peugeot-Esso-Michelin;Peugeot;Simplex;22;4096;35.419; Lucien Van Impe; Jacques Esclassan; Dietrich Thurau; Gerrie Knetemann
1978;65;Bernard Hinault; Joop Zoetemelk; Joaquim Agostinho;Renault-Gitane-Campagnolo;Gitane;Campagnolo;22;3908;36.084; Mariano Martinez; Freddy Maertens; Henk Lubberding; Paul Wellens
1979;66;Bernard Hinault; Joop Zoetemelk; Joaquim Agostinho;Renault-Gitane;Gitane;Campagnolo;24;3765;36.513; Giovanni Battaglin; Bernard Hinault; Jean-René Bernaudeau; Hennie Kuiper
1980;67;Joop Zoetemelk; Hennie Kuiper; Raymond Martin;TI-Raleigh-Creda;Raleigh;Campagnolo;22;3842;35.144; Raymond Martin; Rudy Pevenage; Johan van der Velde; Christian Levavasseur
1981;68;Bernard Hinault; Lucien Van Impe; Robert Alban;Renault-Elf-Gitane;Gitane;Campagnolo;24;3753;38.96; Lucien Van Impe; Freddy Maertens; Peter Winnen; Bernard Hinault
1982;69;Bernard Hinault; Joop Zoetemelk; Johan van der Velde;Renault-Elf-Gitane;Gitane;Campagnolo;21;3507;38.059; Bernard Vallet; Sean Kelly; Phil Anderson; Régis Clère
1983;70;Laurent Fignon; Ángel Arroyo; Peter Winnen;Renault-Elf;Gitane;Simplex;22;3809;36.23; Lucien Van Impe; Sean Kelly; Laurent Fignon; Serge Demierre
1984;71;Laurent Fignon; Bernard Hinault; Greg LeMond;Renault-Elf;Gitane;Campagnolo;23;4021;35.882; Robert Millar; Frank Hoste; Greg LeMond; Bernard Hinault
1985;72;Bernard Hinault; Greg LeMond; Stephen Roche;La Vie claire-Radar;Look;Campagnolo;22;4109;36.232; Luis Herrera; Sean Kelly; Fabio Parra; Maarten Ducrot
1986;73;Greg LeMond; Bernard Hinault; Urs Zimmermann;La Vie claire-Radar;Look;Campagnolo;23;4094;37.02; Bernard Hinault; Eric Vanderaerden; Andrew Hampsten; Bernard Hinault
1987;74;Stephen Roche; Pedro Delgado; Jean-François Bernard;Carrera Jeans-Vagabond;Battaglin;Campagnolo;25;4231;36.645; Luis Herrera; Jean-Paul van Poppel; Raúl Alcalá; Régis Clère
1988;75;Pedro Delgado; Steven Rooks; Fabio Parra;Reynolds;Pinarello;Campagnolo;22;3286;38.909; Steven Rooks; Eddy Planckaert; Erik Breukink; Jérôme Simon
1989;76;Greg LeMond; Laurent Fignon; Pedro Delgado;ADR-Agrigel-Bottecchia;Bottecchia;Mavic;21;3285;37.487; Gert-Jan Theunisse; Sean Kelly; Fabrice Philipot; Laurent Fignon
1990;77;Greg LeMond; Claudio Chiappucci; Erik Breukink;Z-Tommaso;LeMond;Campagnolo;21;3504;38.621; Thierry Claveyrolat; Olaf Ludwig; Gilles Delion; Eduardo Chozas
1991;78;Miguel Indurain; Gianni Bugno; Claudio Chiappucci;Banesto;Pinarello;Campagnolo;22;3914;38.747; Claudio Chiappucci; Djamolidine Abdoujaparov; Álvaro Mejía; Claudio Chiappucci
1992;79;Miguel Indurain; Claudio Chiappucci; Gianni Bugno;Banesto;Pinarello;Campagnolo;21;3983;39.504; Claudio Chiappucci; Laurent Jalabert; Eddy Bouwmans; Claudio Chiappucci
1993;80;Miguel Indurain; Tony Rominger; Zenon Jaskuła;Banesto;Pinarello;Campagnolo;20;3714;38.709; Tony Rominger; Djamolidine Abdoujaparov; Antonio Martín Velasco; Massimo Ghirotto
1994;81;Miguel Indurain; Piotr Ugrumov; Marco Pantani;Banesto;Pinarello;Campagnolo;21;3978;38.383; Richard Virenque; Djamolidine Abdoujaparov; Marco Pantani; Eros Poli
1995;82;Miguel Indurain; Alex Zülle; Bjarne Riis;Banesto;Pinarello;Campagnolo;20;3635;39.193; Richard Virenque; Laurent Jalabert; Marco Pantani; Hernán Buenahora
1996;83;Bjarne Riis5; Jan Ullrich; Richard Virenque;Deutsche Telekom;Pinarello;Campagnolo;21;3765;39.227; Richard Virenque; Erik Zabel; Jan Ullrich; Richard Virenque
1997;84;Jan Ullrich; Richard Virenque; Marco Pantani;Deutsche Telekom;Pinarello;Campagnolo;21;3950;39.237; Richard Virenque; Erik Zabel; Jan Ullrich; Richard Virenque
1998;85;Marco Pantani; Jan Ullrich; Bobby Julich;Mercatone Uno-Bianchi;Bianchi;Campagnolo;21;3875;39.983; Christophe Rinero; Erik Zabel; Jan Ullrich; Jacky Durand
1999;86;non attribué; Alex Zülle; Fernando Escartín;;;;20;3870;; Richard Virenque; Erik Zabel; Benoît Salmon; Jacky Durand
2000;87;non attribué; Jan Ullrich; Joseba Beloki;;;;21;3662;; Santiago Botero; Erik Zabel; Francisco Mancebo; Erik Dekker
2001;88;non attribué; Jan Ullrich; Joseba Beloki;;;;20;3458;; Laurent Jalabert; Erik Zabel; Óscar Sevilla; Laurent Jalabert
2002;89;non attribué; Joseba Beloki; Raimondas Rumšas;;;;20;3278;; Laurent Jalabert; Robbie McEwen; Ivan Basso; Laurent Jalabert
2003;90;non attribué; Jan Ullrich; Alexandre Vinokourov;;;;20;3427;; Richard Virenque; Baden Cooke; Denis Menchov; Alexandre Vinokourov
2004;91;non attribué; Andreas Klöden; Ivan Basso;;;;20;3391;; Richard Virenque; Robbie McEwen; Vladimir Karpets; Richard Virenque
2005;92;non attribué; Ivan Basso;non attribué8;;;;21;3593;; Michael Rasmussen; Thor Hushovd; Yaroslav Popovych; Óscar Pereiro
2006;93;Óscar Pereiro9; Andreas Klöden; Carlos Sastre;Caisse d’Épargne-Illes Balears;Pinarello;Campagnolo;21;3657.1;40.784; Michael Rasmussen; Robbie McEwen; Damiano Cunego; David de la Fuente
2007;94;Alberto Contador; Cadel Evans;non attribué10;Discovery Channel;Trek;Shimano;21;3569.5;39.228; Mauricio Soler; Tom Boonen; Alberto Contador; Amets Txurruka
2008;95;Carlos Sastre; Cadel Evans; Denis Menchov11.12;CSC-Saxo Bank;Cervélo;Shimano;21;3558.5;40.492; Carlos Sastre13; Óscar Freire; Andy Schleck; Sylvain Chavanel
2009;96;Alberto Contador; Andy Schleck; Bradley Wiggins14;Astana;Trek;SRAM;21;3459.5;40.315; Egoi Martínez15; Thor Hushovd; Andy Schleck;non attribué16
2010;97;Andy Schleck17; Samuel Sánchez18; Jurgen Van den Broeck18;Saxo Bank;Specialized;SRAM;21;3642;39.594; Anthony Charteau; Alessandro Petacchi; Andy Schleck; Sylvain Chavanel
2011;98;Cadel Evans; Andy Schleck; Fränk Schleck;BMC Racing;BMC;Shimano;21;3430;39.788; Samuel Sánchez; Mark Cavendish; Pierre Rolland; Jérémy Roy
2012;99;Bradley Wiggins; Christopher Froome; Vincenzo Nibali;Sky;Pinarello;Shimano;21;3497;39.724; Thomas Voeckler; Peter Sagan; Tejay van Garderen; Chris Anker Sørensen
2013;100;Christopher Froome; Nairo Quintana; Joaquim Rodríguez;Sky;Pinarello;Shimano;21;3404;40.542; Nairo Quintana; Peter Sagan; Nairo Quintana; Christophe Riblon
2014;101;Vincenzo Nibali; Jean-Christophe Péraud; Thibaut Pinot;Astana;Specialized;Campagnolo;21;3660.5;40.452; Rafał Majka; Peter Sagan; Thibaut Pinot; Alessandro De Marchi
2015;102;Christopher Froome; Nairo Quintana; Alejandro Valverde;Sky;Pinarello;Shimano;21;3360;39.567; Christopher Froome; Peter Sagan; Nairo Quintana; Romain Bardet
2016;103;Christopher Froome; Romain Bardet; Nairo Quintana;Sky;Pinarello;Shimano;21;3529;39.616; Rafał Majka; Peter Sagan; Adam Yates; Peter Sagan
2017;104;Christopher Froome; Rigoberto Urán; Romain Bardet;Sky;Pinarello;Shimano;21;3540;40.996; Warren Barguil; Michael Matthews; Simon Yates; Warren Barguil
2018;105;Geraint Thomas; Tom Dumoulin; Christopher Froome;Sky;Pinarello;Shimano;21;3351;40.234; Julian Alaphilippe; Peter Sagan; Pierre Latour; Daniel Martin
2019;106;Egan Bernal; Geraint Thomas; Steven Kruijswijk;Ineos;Pinarello;Shimano;21;3365.8;40.576; Romain Bardet; Peter Sagan; Egan Bernal; Julian Alaphilippe
2020;107;Tadej Pogačar; Primož Roglič; Richie Porte;UAE Team Emirates;Colnago;Campagnolo;21;3484.2;39.894; Tadej Pogačar; Sam Bennett; Tadej Pogačar; Marc Hirschi
2021;108;Tadej Pogačar; Jonas Vingegaard; Richard Carapaz;UAE Team Emirates;Colnago;Campagnolo;21;3414.4;41.165; Tadej Pogačar; Mark Cavendish; Tadej Pogačar; Franck Bonnamour
